cbff6eb2-634b-434c-822c-3057f5896a6b,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2020,А
d9e139ad-e920-4ece-abbc-166bed5fd8b6,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2020,B
4f5809d1-f718-44b0-b2a6-54d3b0ed93de,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2020,C
90799946-e645-41b1-99e2-67754999c5ac,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2019,А
66edf9e4-3f33-44df-9b67-df1a57b47227,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2019,B
58525b55-cd3e-43d0-b6f9-5a93c00a947a,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2018,А
42a952c1-4c75-48af-aeea-41982f31603e,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2017,А
d135f12d-43a9-4ddd-8412-cde74716262f,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2017,B
f8e39bae-bd74-4592-a9ba-4268ba9024a6,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2016,А
8f3abaef-afd0-4e42-931d-74e50a155173,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2016,B
1432cc2d-fca5-4e37-a75c-d370a7ad65fc,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2016,C
1e51a00a-fa8c-4e90-9434-692d30b13c99,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2015,A
bd4a3263-e458-4c8b-93b7-fba6132f34c4,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2015,B
54fa6956-c4a0-490b-9adf-f50e7f625ced,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2015,C
10e10b3f-8636-410f-92f6-8d3d8ddd193f,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2014,A
aeecafd7-98fc-4546-b1a7-9d5d25d0ecf3,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2014,B
4433ae15-7af9-4f85-adc6-349d51bbb0c2,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2013,A
f3f392e4-0410-40cc-bd93-75d4a3d7a898,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2013,B
6d0e69e4-80a2-48f6-b61a-82f3c972fbd2,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2013,C
757144f2-4270-4dcd-a05c-0e72ec012d76,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2012,A
fac6680c-0ff0-4db7-b90c-d8bb20dbff1e,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2011,A
7021e32d-17d1-4ced-aa4d-738927c4a24a,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2011,B
ce2669ec-3f04-42ad-89c5-303f964926c7,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2010,A
3e480253-ac67-4fe5-aaa7-65d7070f7e35,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2009,A
4a7dff7e-58bb-496f-a48b-0e0208b595b1,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2008,A
57421531-340c-47be-a1d0-64958da06175,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2008,B
0f766bf2-9d79-4050-9aa0-e0e1e1a2d5e2,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2007,A
d3066fad-83de-43c4-bc41-edae450bcd78,94cb5e06-e75d-4f35-a36c-d63ac257a4db,2006,A